Sample_ID,Normal_Rainfall_mm,Actual_Rainfall_mm,PSO_Predicted_Rainfall_mm,PSO_Absolute_Error_mm,PSO_Percentage_Error
37,857.9651703406814,873.3667911301914,871.5728,1.7939761887851091,0.205409251531489
38,868.9395991983968,880.573996830668,878.56647,2.0075295455117157,0.22797965335532822
39,872.0751503006012,882.4864346484471,880.56464,1.9217984179783798,0.2177708735822052
40,876.7784769539078,885.2778273853206,883.5619,1.7159377368831201,0.19383042066592407
41,889.3206813627255,892.5837459741629,891.5547,1.0290584741628663,0.1152898513785679
42,890.8884569138277,893.5135199845823,892.5537,0.9598090470823308,0.10741964453978184
43,906.5662124248497,903.5917602701952,902.7561,0.8356567545702092,0.09248167051903264
44,914.4050901803607,909.4584998828566,908.65314,0.8053626758253358,0.0885540875069144
45,917.540641282565,912.0091453007674,911.2175,0.7916160038923863,0.08679913002750897
46,959.8705811623247,959.68028129717,957.54047,2.1398149885762905,0.22297165319307893
47,997.4971943887775,1014.4366295464594,1011.696,2.7406456597406077,0.27016430400052815
48,1006.9038476953908,1027.2594159539447,1026.2328,1.0266278680071537,0.09993852108464692
49,1021.0138276553106,1044.435545915216,1042.5034,1.9321279464659256,0.1849925497099818
50,1022.5816032064129,1046.1637656485555,1044.0413,2.1225058829304544,0.20288466802466962
51,1025.7171543086172,1049.5042011463943,1047.0714,2.43279001358178,0.2318037422741515
52,1041.3949098196392,1063.8543594345258,1059.8037,4.050648497025804,0.38075216415702423
53,1063.3437675350701,1078.1456037903986,1073.4281,4.717503204461082,0.43755715256602834
54,1075.8859719438879,1084.4751319127154,1081.2134,3.2617530064653693,0.30076789319387487
55,1082.1570741482965,1087.5240344921062,1085.1061,2.4179553905437388,0.22233581179407852
56,1083.7248496993989,1088.2966013738262,1086.0792,2.2173777410137063,0.20374755725732938
57,1089.9959519038075,1091.4903907381074,1089.9718,1.5185889802949077,0.13912985338038386
58,1093.131503006012,1093.17765749434,1091.9182,1.2594446037151101,0.11520950826985146
59,1094.6992785571142,1094.0507245736303,1092.8914,1.1593671517553048,0.10597014614721172
60,1108.8092585170339,1103.1079054871277,1101.6499,1.4580031433777094,0.13217230482396566
61,1110.3770340681363,1104.2759334700872,1102.623,1.6528865950872387,0.14968057756118908
62,1113.5125851703406,1106.7245665705648,1104.5693,2.1552306330647752,0.1947395673833502
63,1121.3514629258516,1113.5455912858595,1109.4352,4.110410621796973,0.36912818423990196
64,1130.758116232465,1123.1297273145988,1118.9479,4.181851338036267,0.372339119545439
65,1138.596993987976,1132.2933664306993,1130.0781,2.2152414306992796,0.19564200377525223
66,1144.8680961923847,1140.352262843171,1138.9822,1.3700851087960473,0.12014577893501936
67,1152.7069739478957,1151.2314048619444,1150.1124,1.1189781041318838,0.09719836510767108
68,1154.274749498998,1153.5010742785764,1152.3384,1.162695372326425,0.10079707754529826
69,1168.3847294589177,1174.9444920600426,1172.3727,2.5718113959801485,0.2188879060551162
70,1173.0880561122244,1182.3415407414755,1179.0508,3.2907594914754554,0.2783256257250117
71,1177.7913827655311,1189.7650878039924,1185.7289,4.036205968054901,0.33924394062568464
72,1184.0624849699398,1199.5983953304974,1194.633,4.965338689872397,0.4139167499056559
73,1188.7658116232465,1206.8460280555164,1201.3112,5.534870828953899,0.45862278205213497
74,1195.036913827655,1216.2288207921508,1210.2152,6.013610831213327,0.494447321787405
75,1199.7402404809618,1222.9852324982603,1216.8934,6.091799881072802,0.4981090301988964
76,1204.4435671342685,1229.4470427945762,1223.5714,5.875631661763691,0.47790847895393485
77,1223.2568737474949,1251.6286601630322,1246.6635,4.965208014594737,0.3966997698780714
78,1226.3924248496992,1254.69014096893,1249.0513,5.638871437680109,0.4494234276301486
79,1227.9602004008016,1256.1504248799968,1250.244,5.906406325309263,0.4701989672831991
80,1229.5279759519037,1257.5639457917061,1251.4368,6.127178213581146,0.4872259763875266
81,1235.7990781563126,1262.7582953430167,1256.2076,6.550653741454198,0.5187575298940937
82,1237.3668537074147,1263.9449564123518,1257.4004,6.5445657873517575,0.5177888288686399
83,1262.45126252505,1277.9862768790654,1276.4839,1.5023901603153718,0.11755917786412519
84,1273.4256913827653,1282.3806466403616,1284.8329,2.452239101825853,0.19122552326802025
85,1276.5612424849699,1283.6085093315749,1287.2184,3.609874457487649,0.28122861692210593
86,1292.238997995992,1290.488427495425,1299.1456,8.657202387387542,0.670846960184634
87,1293.806773547094,1291.299773630836,1300.3383,9.038483205101556,0.6999523572816431
88,1300.077875751503,1294.8750802681398,1305.1093,10.234172661547746,0.7903598437795619
89,1309.484529058116,1301.4165019639315,1312.2655,10.849000965755977,0.8336301982788792
90,1315.755631262525,1306.6885169370407,1317.0364,10.347860016084269,0.791914819940432
91,1326.7300601202405,1317.830920025315,1325.5447,7.713757709060019,0.5853374353146791
92,1331.433386773547,1323.3614299859034,1329.2047,5.843281928159058,0.4415484534879712
93,1334.5689378757515,1327.2923450064193,1331.6448,4.352430384205718,0.3279179903794795
94,1343.9755911823645,1340.171768919533,1338.965,1.2068030992204513,0.09004838985627898
95,1347.111142284569,1344.7914682493113,1341.405,3.386438952436265,0.25181889031797844
96,1354.95002004008,1356.9235092376039,1347.5051,9.418382284478866,0.6940982465379087
97,1356.5177955911822,1359.4333499841207,1348.7251,10.708252327870696,0.7876996932579134
98,1361.221122244489,1367.0889045959077,1352.3853,14.703650689657707,1.0755445853028776
99,1362.788897795591,1369.6746826263907,1353.6052,16.069458017015677,1.1732317331150508
100,1365.9244488977956,1374.8820684791351,1356.0453,18.836780393197614,1.3700651732285996
