Sample_ID,Normal_Rainfall_mm,Actual_Rainfall_mm,AIS_Predicted_Rainfall_mm,AIS_Absolute_Error_mm,AIS_Percentage_Error
41,889.3206813627255,892.5837459741629,892.58075,0.0029964624441163323,0.00033570658861214233
42,890.8884569138277,893.5135199845823,893.6056,0.09207083573016916,0.01030435843116933
43,906.5662124248497,903.5917602701952,903.8762,0.28446043292979084,0.031481078672599944
44,914.4050901803607,909.4584998828566,909.4468,0.011722539106585828,0.0012889581116780763
45,917.540641282565,912.0091453007674,911.96893,0.04021219529863629,0.0044091877264426866
46,959.8705811623247,959.68028129717,960.1282,0.4478925309549595,0.04667101530413411
47,997.4971943887775,1014.4366295464594,1015.03015,0.5935218207281423,0.058507530528890475
48,1006.9038476953908,1027.2594159539447,1028.6665,1.4070879523053463,0.13697493840917305
49,1021.0138276553106,1044.435545915216,1044.573,0.13745213165907444,0.013160422603065292
50,1022.5816032064129,1046.1637656485555,1046.2837,0.11992575769454561,0.011463382850026278
51,1025.7171543086172,1049.5042011463943,1049.52,0.01581838485572007,0.0015072245388290332
52,1041.3949098196392,1063.8543594345258,1064.4883,0.6339218154741957,0.059587274315550706
53,1063.3437675350701,1078.1456037903986,1078.6847,0.5390885924139184,0.0500014645998336
54,1075.8859719438879,1084.4751319127154,1085.7,1.2248192591596307,0.11294120290240194
55,1082.1570741482965,1087.5240344921062,1089.2076,1.6836071094562612,0.15481102541724853
56,1083.7248496993989,1088.2966013738262,1090.0845,1.7878712824237937,0.16428161956647203
57,1089.9959519038075,1091.4903907381074,1093.6254,2.1349754728300923,0.19560185696058585
58,1093.131503006012,1093.17765749434,1095.4791,2.30146848222239,0.21053014269405754
59,1094.6992785571142,1094.0507245736303,1096.4061,2.355403356057195,0.21529196984674867
60,1108.8092585170339,1103.1079054871277,1104.7482,1.6402634581847906,0.14869474237522187
61,1110.3770340681363,1104.2759334700872,1105.675,1.3991153580377613,0.12669979627656722
62,1113.5125851703406,1106.7245665705648,1107.5288,0.8042420231852248,0.0726686700085957
63,1121.3514629258516,1113.5455912858595,1113.0386,0.5070170671094729,0.045531774457837716
64,1130.758116232465,1123.1297273145988,1123.8667,0.7369719041512326,0.06561770080766459
65,1138.596993987976,1132.2933664306993,1134.4226,2.1292409911757204,0.18804676016849545
66,1144.8680961923847,1140.352262843171,1143.4752,3.1229568833914527,0.27385896315978486
67,1152.7069739478957,1151.2314048619444,1154.791,3.559610763055616,0.30920028310750297
68,1154.274749498998,1153.5010742785764,1157.0541,3.553002869861075,0.3080190343197727
69,1168.3847294589177,1174.9444920600426,1177.4224,2.4778712212073515,0.21089261986009855
70,1173.0880561122244,1182.3415407414755,1184.2119,1.8703733210245446,0.15819230371044796
71,1177.7913827655311,1189.7650878039924,1191.0013,1.236254969445099,0.10390748410065682
72,1184.0624849699398,1199.5983953304974,1200.054,0.45555974762760343,0.037976021758689804
73,1188.7658116232465,1206.8460280555164,1206.8434,0.0026442664538990357,0.0002191055356215993
74,1195.036913827655,1216.2288207921508,1215.896,0.3328246984008274,0.027365302705460715
75,1199.7402404809618,1222.9852324982603,1222.6854,0.29980769357280224,0.02451441649547708
76,1204.4435671342685,1229.4470427945762,1229.4749,0.027810721048808773,0.002262051156395808
77,1223.2568737474949,1251.6286601630322,1245.1389,6.489744147407237,0.5185039583994432
78,1226.3924248496992,1254.69014096893,1247.5125,7.177689797055109,0.5720687174215111
79,1227.9602004008016,1256.1504248799968,1248.6992,7.451206129996763,0.593177853735837
80,1229.5279759519037,1257.5639457917061,1249.886,7.677959463581146,0.6105422701783523
81,1235.7990781563126,1262.7582953430167,1254.6332,8.125116632079198,0.6434419525925256
82,1237.3668537074147,1263.9449564123518,1255.82,8.125010123289258,0.642829427188959
83,1262.45126252505,1277.9862768790654,1274.8083,3.1779272696903718,0.2486667757850342
84,1273.4256913827653,1282.3806466403616,1283.1157,0.7350760158883531,0.05732120317115969
85,1276.5612424849699,1283.6085093315749,1285.4893,1.8807484809251491,0.14652041235723254
86,1292.238997995992,1290.488427495425,1297.357,6.868628168637542,0.5322502722452266
87,1293.806773547094,1291.299773630836,1298.5438,7.2440496113515565,0.5609889941344113
88,1300.077875751503,1294.8750802681398,1303.291,8.415935356860246,0.6499418735525818
89,1309.484529058116,1301.4165019639315,1310.4595,9.042970692318477,0.6948560033372853
90,1315.755631262525,1306.6885169370407,1315.3491,8.660604156709269,0.6627902552484555
91,1326.7300601202405,1317.830920025315,1323.9103,6.079358294997519,0.4613154997820765
92,1331.433386773547,1323.3614299859034,1327.5792,4.217793646909058,0.31871819378580396
93,1334.5689378757515,1327.2923450064193,1330.0253,2.732923548268218,0.20590215550855157
94,1343.9755911823645,1340.171768919533,1337.3634,2.8083655992204513,0.20955266066264017
95,1347.111142284569,1344.7914682493113,1339.8094,4.982020007123765,0.37046784759941287
96,1354.95002004008,1356.9235092376039,1345.9246,10.998948690728866,0.8105798606812181
97,1356.5177955911822,1359.4333499841207,1347.1476,12.285766976308196,0.9037417668509974
98,1361.221122244489,1367.0889045959077,1350.8167,16.272254205282707,1.1902850027220837
99,1362.788897795591,1369.6746826263907,1352.0396,17.635131845140677,1.2875416380862645
100,1365.9244488977956,1374.8820684791351,1354.4856,20.396472776010114,1.4835070762521656
